user_name,status,datetime
Sen. Lamar Alexander,"In @thedailyherald: The #GreatOutdoors Act will do more for our public lands—our national parks, our national forests, our national refuges, the @BLMNational, &amp; @BureauIndianEdu—than any piece of legislation passed in at least 50 years. #RestoreOurParks
https://t.co/ikA9bChQgr https://t.co/Z8UqGOYnra",2020-06-13 10:40:05.673433
Sen. Jim Inhofe,"This fall, SCOTUS will hear Fulton v. Philadelphia, a case dealing with these constitutional rights. Ironically, regulations preventing faith-based entities from operating in accordance w/their beliefs actually harm children by decreasing the number of providers &amp;homes available.",2020-06-13 11:00:07.046607
Tim Scott,"Despite the challenges ahead of us, we are still the greatest. I'm very optimistic we will find a path forward. #JUSTICEAct https://t.co/ln55R06m0f",2020-06-13 11:55:11.969068
Joni Ernst,"Just wrapped up a Main Street tour in Carroll where I visited with #smallbiz owners about the #PaycheckProtectionProgram, toured the new library, and discussed how we can continue to support folks in Carroll County as we reopen our state. #99CountyTour https://t.co/9jSRwGsiiE",2020-06-13 12:17:18.136887
Sen. Lisa Murkowski,"I recently participated in a Teletown Hall, alongside @RepDonYoung, with the soldiers and families of @USArmyAlaska to discuss the impacts of the #COVID19 pandemic and quality of life changes for @USArmy soldiers and their families. https://t.co/nwuUG8SdPS",2020-06-13 12:35:59.008449
Sen. Jim Inhofe,"To counter this discrimination against religious organizations at the federal level, in Nov. 2019, @realDonaldTrump's administration announced a proposed rule to revise &amp; replace burdensome regulations from the Obama administration that targeted religious Child Placing Agencies",2020-06-13 13:00:06.339751
Rob Portman,"Some good news to start the weekend: the Cincinnati Zoo,
one of my favorite places since I was a kid, is finally open again!  Just in time for summer. Go visit Fiona! 

Note that Advance reservations are required: https://t.co/fHAjF24jp5 https://t.co/CaPPqjhXTn",2020-06-13 13:05:46.773135
"Bill Cassidy, M.D.","The Great Outdoors Act spends billions of dollars on vacation spots but $0 on our coast where people live. Coastal resilience is a major issue for areas like Grand Isle, Houma and other cities in LA. We need to prioritize people's lives over vacation spots https://t.co/6msvdlyIu9",2020-06-13 13:20:05.449736
Sen. Susan Collins,The Trump Administration‘s decision to eliminate protections for transgender patients is simply wrong.  I’ll work to overturn this discriminatory policy.,2020-06-13 13:25:54.431457
Senator Jerry Moran,Congratulations to the Lieutenants who are graduating from @WestPoint_USMA today. Your hard work and dedication over the past four years will serve you well as you become the newest leaders in the world’s greatest fighting force.,2020-06-13 13:30:40.589330
